order_id,order_date,shift,zone,order_priority,items_count,picker_experience,distance_travelled,congestion_level,equipment_available,picking_time,packing_time,total_time,target_time,delayed,order_month,order_quarter,order_day_of_week,is_weekend,time_ratio,time_over_target,workload_index,is_experienced,is_high_congestion,equipment_penalty,pick_time_per_item
ORD-00001,2024-01-01 00:00:00.000000,Morning,D,Low,9,7,165.5,Low,True,11.22,7.7,18.92,55,0,1,1,0,0,0.344,-36.08,14.9,1,0,0,1.247
ORD-00002,2024-01-01 02:37:16.767353,Evening,C,Low,46,7,128.5,Medium,False,29.62,28.62,58.24,55,1,1,1,0,0,1.0589,3.24,59.11,1,0,1,0.644
ORD-00003,2024-01-01 05:14:33.534706,Night,C,Medium,16,5,167.0,Low,False,17.98,18.58,36.56,45,1,1,1,0,0,0.8124,-8.44,26.72,0,0,1,1.124
ORD-00004,2024-01-01 07:51:50.302060,Evening,E,High,10,5,149.9,Low,True,15.5,7.06,22.56,38,0,1,1,0,0,0.5937,-15.44,14.99,0,0,0,1.55
ORD-00005,2024-01-01 10:29:07.069413,Evening,A,Medium,28,3,121.8,Low,True,19.29,14.51,33.8,45,0,1,1,0,0,0.7511,-11.2,34.1,0,0,0,0.689
ORD-00006,2024-01-01 13:06:23.836767,Morning,A,Urgent,20,8,155.6,Medium,True,12.49,10.53,23.02,28,0,1,1,0,0,0.8221,-4.98,31.12,1,0,0,0.624
ORD-00007,2024-01-01 15:43:40.604120,Night,D,Medium,24,10,134.5,Low,True,5.55,14.3,19.85,45,0,1,1,0,0,0.4411,-25.15,32.28,1,0,0,0.231
ORD-00008,2024-01-01 18:20:57.371474,Night,A,Urgent,41,2,174.7,Low,True,28.74,21.21,49.95,28,1,1,1,0,0,1.7839,21.95,71.63,0,0,0,0.701
ORD-00009,2024-01-01 20:58:14.138827,Evening,B,Low,27,3,184.9,Medium,True,35.22,15.3,50.52,55,0,1,1,0,0,0.9185,-4.48,49.92,0,0,0,1.304
ORD-00010,2024-01-01 23:35:30.906181,Night,B,Low,19,7,170.1,Low,False,12.76,15.49,28.25,55,0,1,1,0,0,0.5136,-26.75,32.32,1,0,1,0.672
ORD-00011,2024-01-02 02:12:47.673534,Evening,A,Low,41,4,84.6,Low,True,21.33,23.72,45.05,55,0,1,1,1,0,0.8191,-9.95,34.69,0,0,0,0.52
ORD-00012,2024-01-02 04:50:04.440888,Evening,A,Low,19,1,111.4,Low,False,16.76,16.78,33.54,55,0,1,1,1,0,0.6098,-21.46,21.17,0,0,1,0.882
ORD-00013,2024-01-02 07:27:21.208241,Morning,C,Medium,48,1,124.5,Low,True,39.01,23.19,62.2,45,1,1,1,1,0,1.3822,17.2,59.76,0,0,0,0.813
